type,price,location,area,bedrooms,bathrooms,kitchens,parking_spaces,Luxury_catogory,built_in_type
Flat,2.42,G-11,4.0,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.75,Kashmir Highway,4.3,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,44.5,F-6,40.0,6.0,6.0,1.0,1.0,Medium,Relatively New Property
House,15.6,DHA Defence,34.0,9.0,6.0,2.0,2.0,High,New Property
Flat,0.37,B-17,2.1,1.0,1.0,2.0,2.0,High,New Property
Flat,6.25,F-10,7.6,3.0,3.0,2.0,2.0,Low,New Property
House,15.0,E-11,20.0,9.0,6.0,3.0,4.0,Medium,Relatively New Property
House,35.0,G-6,48.0,4.0,4.0,3.0,2.0,Medium,Relatively New Property
House,36.0,F-7,26.0,6.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,0.86,DHA Defence,3.5,1.0,1.0,2.0,1.0,Low,Relatively New Property
Flat,0.28,D-17,1.6,1.0,1.0,1.0,1.0,High,Moderately old Property
House,45.0,F-7,26.0,8.0,6.0,3.0,5.0,High,New Property
Flat,1.35,E-11,5.3,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,1.8,DHA Defence,8.7,3.0,3.0,1.0,2.0,High,Relatively New Property
House,2.4,Bahria Town,5.0,3.0,3.0,1.0,1.0,Medium,Relatively New Property
Flat,0.65,River Garden,2.3,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,10.8,DHA Defence,20.0,6.0,6.0,3.0,2.0,High,Relatively New Property
House,3.05,I-10,5.0,3.0,3.0,2.0,1.0,Medium,Relatively New Property
Flat,1.35,G-15,6.9,2.0,2.0,2.0,1.0,Medium,Relatively New Property
House,7.2,DHA Defence,18.0,6.0,6.0,1.0,2.0,Low,Relatively New Property
House,5.5,G-8,6.7,4.0,4.0,1.0,2.0,High,Relatively New Property
House,8.25,G-9,10.0,6.0,6.0,1.0,3.0,High,Relatively New Property
House,3.4,G-13,4.0,4.0,4.0,2.0,1.0,High,New Property
Flat,1.5,G-13,9.1,3.0,3.0,1.0,2.0,High,New Property
House,1.8,Ghauri Town,5.0,4.0,6.0,2.0,5.0,High,New Property
Flat,8.5,Karakoram Diplomatic Enclave,8.4,2.0,3.0,1.0,2.0,Low,Relatively New Property
House,17.0,F-10,22.0,5.0,5.0,2.0,6.0,High,New Property
Flat,2.47,Park View City,4.4,1.0,1.0,1.0,1.0,Low,Relatively New Property
House,15.5,Bahria Town,40.0,5.0,6.0,2.0,1.0,High,New Property
House,11.5,DHA Defence,20.0,5.0,6.0,1.0,3.0,High,New Property
Flat,3.2,G-11,7.1,2.0,2.0,1.0,1.0,High,New Property
House,99.0,G-6,74.0,7.0,6.0,2.0,12.0,High,Moderately old Property
Flat,0.37,B-17,2.1,1.0,1.0,3.0,4.0,High,Old Property
House,9.2,Bahria Town,20.0,6.0,6.0,2.0,2.0,Low,New Property
Flat,7.5,Kashmir Highway,9.6,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,1.13,Zaraj Housing Scheme,3.2,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,23.0,F-8,17.8,4.0,5.0,1.0,1.0,Low,Relatively New Property
Flat,3.8,G-11,4.7,3.0,3.0,1.0,1.0,Medium,Relatively New Property
Flat,1.4,E-11,5.3,3.0,3.0,1.0,1.0,High,Relatively New Property
House,25.0,F-11,26.0,9.0,3.0,2.0,2.0,Medium,Relatively New Property
House,2.5,I-14,5.0,3.0,3.0,1.0,1.0,Low,Relatively New Property
House,2.15,Bahria Town,5.0,3.0,3.0,2.0,1.0,High,New Property
House,12.0,E-11,20.0,7.0,3.0,1.0,4.0,High,Relatively New Property
Flat,2.5,DHA Defence,13.0,3.0,3.0,2.0,5.0,High,New Property
House,1.8,H-13,5.0,5.0,5.0,3.0,1.0,Low,New Property
House,14.0,DHA Defence,20.0,5.0,6.0,1.0,3.0,Medium,New Property
House,1.6,FECHS,5.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,2.8,DHA Defence,10.0,3.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,4.7,F-11,11.6,3.0,3.0,1.0,1.0,High,Old Property
House,0.68,DHA Defence,5.0,2.0,2.0,1.0,1.0,High,Relatively New Property
House,12.75,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
House,3.8,Bani Gala,10.0,4.0,6.0,2.0,2.0,Low,New Property
House,11.5,DHA Defence,20.0,5.0,5.0,2.0,3.0,High,New Property
Flat,0.45,D-17,2.8,2.0,2.0,1.0,1.0,Medium,Relatively New Property
House,3.1,FECHS,8.0,5.0,6.0,2.0,2.0,Low,New Property
Flat,4.3,Blue Area,3.3,2.0,1.0,1.0,2.0,High,New Property
House,30.0,F-7,20.0,5.0,6.0,1.0,1.0,High,Relatively New Property
Flat,3.25,F-11,6.4,2.0,2.0,1.0,1.0,Low,Moderately old Property
House,26.0,DHA Defence,30.0,6.0,6.0,2.0,4.0,High,New Property
House,26.0,F-11,26.0,9.0,6.0,3.0,4.0,High,Relatively New Property
House,15.0,F-6,10.6,5.0,5.0,1.0,1.0,Low,Relatively New Property
Flat,0.85,Bahria Town,3.7,1.0,2.0,1.0,2.0,Medium,New Property
House,5.19,Bahria Town,10.0,5.0,6.0,2.0,2.0,High,New Property
Flat,0.64,DHA Defence,2.7,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,3.5,I-11,6.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,4.3,F-11,9.3,3.0,3.0,1.0,1.0,Medium,Moderately old Property
House,2.0,Bahria Town,5.0,3.0,3.0,2.0,1.0,High,New Property
House,3.8,Soan Garden,10.0,5.0,6.0,2.0,3.0,High,New Property
Flat,3.4,DHA Defence,14.7,4.0,5.0,2.0,5.0,Medium,Moderately old Property
Flat,0.37,F-17,3.9,2.0,2.0,1.0,2.0,High,Relatively New Property
House,29.0,F-7,22.0,6.0,6.0,2.0,4.0,Low,Old Property
Flat,1.9,Islamabad Expressway,6.5,3.0,3.0,1.0,1.0,High,New Property
Flat,1.3,E-11,5.3,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,26.0,DHA Defence,36.0,6.0,6.0,2.0,2.0,High,New Property
House,21.0,F-6,17.8,6.0,6.0,1.0,1.0,Medium,Relatively New Property
Flat,0.55,F-17,3.6,2.0,2.0,1.0,3.0,High,Relatively New Property
House,7.5,National Police Foundation O-9,20.0,7.0,6.0,2.0,6.0,Low,Relatively New Property
House,18.0,F-10,20.0,5.0,5.0,2.0,4.0,Low,Relatively New Property
Flat,3.5,G-11,7.2,2.0,2.0,1.0,1.0,High,New Property
Flat,0.51,H-13,1.7,1.0,1.0,1.0,1.0,Low,New Property
Flat,0.55,Bahria Town,2.4,1.0,1.0,1.0,1.0,High,New Property
Flat,1.2,E-11,3.6,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,0.85,Gulberg,2.4,1.0,1.0,1.0,1.0,Medium,Relatively New Property
House,20.0,DHA Defence,20.0,5.0,5.0,2.0,3.0,High,New Property
House,1.3,Ghauri Town,5.0,3.0,3.0,1.0,1.0,High,New Property
House,11.95,DHA Defence,20.0,6.0,6.0,2.0,4.0,Medium,New Property
Flat,14.0,F-8,11.8,3.0,3.0,3.0,4.0,High,New Property
House,11.0,DHA Defence,20.0,6.0,6.0,2.0,2.0,High,New Property
Flat,1.55,G-6,4.0,2.0,2.0,2.0,4.0,High,New Property
House,0.7,DHA Defence,5.0,2.0,2.0,1.0,1.0,Medium,Relatively New Property
Flat,2.3,D-17,7.3,3.0,3.0,2.0,1.0,High,Relatively New Property
House,13.0,DHA Defence,20.0,5.0,5.0,2.0,3.0,Medium,New Property
Flat,0.7,B-17,2.8,2.0,2.0,1.0,1.0,Medium,Relatively New Property
House,26.0,DHA Defence,32.0,6.0,6.0,2.0,3.0,Medium,New Property
Flat,0.5,D-17,3.8,2.0,2.0,2.0,2.0,Medium,New Property
Flat,1.8,E-11,5.3,2.0,2.0,1.0,1.0,Low,Moderately old Property
Flat,3.3,E-11,8.4,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,5.5,Naval Anchorage,20.0,3.0,4.0,1.0,1.0,High,New Property
Flat,0.67,G-13,5.1,2.0,2.0,1.0,2.0,High,New Property
House,14.0,I-8,12.0,6.0,6.0,3.0,3.0,Medium,Relatively New Property
Flat,1.37,E-11,3.1,1.0,1.0,1.0,1.0,Low,Relatively New Property
House,4.35,D-12,4.4,3.0,4.0,3.0,2.0,Low,Relatively New Property
Flat,0.95,Bani Gala,4.7,2.0,2.0,1.0,1.0,Medium,New Property
Flat,1.3,GT Road,6.3,3.0,3.0,1.0,2.0,Medium,Relatively New Property
Flat,0.55,G-15,3.7,2.0,2.0,1.0,1.0,High,Moderately old Property
House,14.0,DHA Defence,20.0,6.0,3.0,3.0,2.0,High,Relatively New Property
Flat,0.6,Soan Garden,4.9,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,0.63,G-15,2.4,2.0,2.0,2.0,1.0,High,New Property
House,2.7,Bahria Town,5.0,3.0,3.0,1.0,1.0,High,New Property
Flat,1.2,DHA Defence,5.1,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.69,DHA Defence,7.1,3.0,3.0,1.0,3.0,Low,Moderately old Property
House,4.25,I-11,6.0,5.0,5.0,2.0,1.0,High,New Property
Flat,0.65,B-17,4.1,2.0,2.0,2.0,1.0,High,New Property
Flat,0.62,DHA Defence,2.7,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,1.55,E-11,2.2,2.0,2.0,1.0,2.0,Low,New Property
House,3.9,Top City 1,10.0,6.0,6.0,2.0,2.0,High,New Property
House,8.5,Naval Anchorage,20.0,8.0,6.0,2.0,3.0,High,New Property
House,4.25,D-12,4.5,4.0,5.0,2.0,1.0,Medium,Relatively New Property
Flat,2.2,Kashmir Highway,3.4,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.25,F-11,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,4.5,Gulberg,8.0,4.0,6.0,3.0,2.0,Low,New Property
Flat,0.6,H-13,2.0,1.0,1.0,1.0,1.0,Medium,Relatively New Property
Flat,1.1,GT Road,4.2,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,6.5,G-6,9.0,4.0,4.0,3.0,2.0,Low,Old Property
Flat,0.92,D-17,6.4,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,2.2,F-11,7.6,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.5,G-15,4.8,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,2.5,G-11,3.6,2.0,2.0,1.0,1.0,High,Moderately old Property
House,30.0,F-7,20.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,2.2,Kashmir Highway,4.4,1.0,1.0,1.0,2.0,High,Relatively New Property
House,4.6,Bahria Town,10.0,4.0,4.0,1.0,2.0,High,New Property
Flat,1.01,F-17,3.0,1.0,1.0,1.0,2.0,High,Relatively New Property
Flat,2.62,F-10,6.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,5.5,D-17,20.0,6.0,6.0,1.0,2.0,High,Moderately old Property
House,25.0,F-6,22.0,4.0,5.0,1.0,1.0,Low,Relatively New Property
House,9.95,G-13,14.2,6.0,6.0,2.0,5.0,High,New Property
House,10.8,DHA Defence,20.0,5.0,6.0,1.0,3.0,High,New Property
Flat,1.55,F-11,4.0,1.0,1.0,1.0,1.0,Low,Old Property
Flat,0.25,PWD Housing Scheme,1.1,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,5.5,D-12,5.6,4.0,4.0,2.0,1.0,High,New Property
Flat,8.5,Karakoram Diplomatic Enclave,9.4,2.0,3.0,1.0,2.0,Low,Relatively New Property
House,3.25,G-13,4.0,4.0,4.0,2.0,1.0,High,New Property
House,10.5,DHA Defence,20.0,6.0,6.0,2.0,3.0,Medium,New Property
House,8.3,DHA Defence,20.0,6.0,7.0,2.0,2.0,Medium,New Property
Flat,1.53,Bahria Town,6.4,2.0,2.0,2.0,1.0,High,New Property
Flat,3.75,DHA Defence,10.0,3.0,3.0,1.0,1.0,Medium,Relatively New Property
House,19.0,I-8,24.0,6.0,6.0,2.0,2.0,Medium,Relatively New Property
Flat,0.24,C-18,1.0,2.0,2.0,1.0,1.0,High,Relatively New Property
House,3.2,B-17,7.0,5.0,5.0,1.0,1.0,High,New Property
House,3.65,Top City 1,10.0,5.0,5.0,3.0,2.0,Low,Relatively New Property
House,2.4,D-17,8.0,5.0,6.0,2.0,2.0,Low,Relatively New Property
House,10.5,D-12,10.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,1.25,E-11,5.3,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,4.75,F-8,6.4,3.0,2.0,2.0,2.0,Medium,New Property
Flat,1.94,F-11,5.6,1.0,1.0,2.0,1.0,High,New Property
Flat,1.5,Gulberg,5.6,3.0,3.0,2.0,1.0,Medium,Relatively New Property
Flat,1.63,Diplomatic Enclave,1.8,2.0,1.0,1.0,1.0,Low,Relatively New Property
Flat,4.7,Blue Area,4.4,1.0,1.0,1.0,2.0,High,Relatively New Property
Flat,1.2,G-13,7.8,3.0,3.0,1.0,3.0,High,New Property
Flat,1.5,G-15,5.5,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,3.6,Bahria Town,8.0,5.0,6.0,2.0,2.0,Medium,New Property
Flat,1.57,DHA Defence,3.9,1.0,1.0,2.0,1.0,Medium,New Property
House,30.0,F-7,20.0,6.0,6.0,3.0,2.0,Low,Relatively New Property
Flat,0.55,E-11,3.3,1.0,1.0,1.0,1.0,Medium,Relatively New Property
Flat,2.2,Bahria Town,10.9,3.0,3.0,1.0,1.0,Low,New Property
Flat,0.9,Soan Garden,4.4,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.67,Islamabad - Murree Expressway,5.4,3.0,2.0,1.0,3.0,Low,Relatively New Property
Flat,1.45,G-15,4.8,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.05,B-17,5.5,3.0,3.0,1.0,1.0,Medium,Relatively New Property
Flat,0.7,B-17,4.0,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,27.0,F-7,20.0,5.0,3.0,2.0,5.0,High,Moderately old Property
House,3.25,National Police Foundation O-9,10.0,7.0,6.0,2.0,1.0,High,Old Property
Flat,1.53,DHA Defence,7.4,3.0,3.0,1.0,2.0,High,Relatively New Property
House,0.82,DHA Defence,5.0,2.0,2.0,1.0,2.0,Medium,New Property
Flat,7.5,F-10,9.3,3.0,3.0,1.0,1.0,Medium,Moderately old Property
House,2.0,National Police Foundation O-9,10.1,3.0,3.0,3.0,2.0,Low,Relatively New Property
House,2.75,Soan Garden,6.0,5.0,5.0,2.0,2.0,Low,Relatively New Property
House,5.3,Bahria Town,10.0,7.0,6.0,3.0,2.0,Low,New Property
House,2.6,Bahria Town,5.0,3.0,4.0,3.0,2.0,Low,New Property
Flat,2.05,Islamabad - Murree Expressway,4.9,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,3.3,G-11,12.0,3.0,3.0,2.0,1.0,High,Old Property
House,5.85,Bahria Town,10.0,5.0,5.0,2.0,2.0,High,New Property
House,2.7,Bani Gala,8.0,4.0,4.0,2.0,1.0,High,New Property
Flat,0.55,I-16,4.1,2.0,2.0,1.0,1.0,Medium,New Property
House,6.0,Kashmir Highway,10.0,4.0,5.0,2.0,2.0,High,New Property
Flat,3.75,Gulberg,8.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.85,D-17,4.7,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,4.6,Kashmir Highway,9.8,3.0,3.0,1.0,2.0,High,Relatively New Property
Flat,1.75,Faisal Town - F-18,4.7,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,4.5,Gulberg,9.3,3.0,2.0,1.0,1.0,High,Relatively New Property
House,16.5,DHA Defence,20.0,8.0,6.0,2.0,3.0,High,New Property
Flat,1.1,GT Road,4.2,2.0,2.0,1.0,2.0,Medium,New Property
House,5.0,G-8,5.0,7.0,5.0,1.0,1.0,Medium,Relatively New Property
Flat,1.2,Gulberg,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.2,Bahria Town,6.1,2.0,3.0,1.0,2.0,High,Relatively New Property
House,4.5,D-12,4.0,3.0,3.0,1.0,4.0,High,Relatively New Property
House,13.5,DHA Defence,20.0,6.0,6.0,1.0,2.0,High,New Property
Flat,0.8,B-17,3.7,2.0,2.0,1.0,2.0,Low,New Property
Flat,10.64,Blue Area,10.6,2.0,3.0,1.0,1.0,Medium,Relatively New Property
Flat,1.69,Islamabad Expressway,4.1,1.0,1.0,1.0,1.0,Medium,New Property
Flat,0.84,G-13,9.1,3.0,3.0,2.0,4.0,High,New Property
House,3.4,Bahria Town,8.0,5.0,6.0,2.0,1.0,Medium,New Property
House,8.5,DHA Defence,20.0,6.0,6.0,1.0,1.0,Medium,Relatively New Property
Flat,6.39,Diplomatic Enclave,5.7,2.0,2.0,2.0,1.0,High,New Property
House,9.4,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
House,1.47,Multi Residencia & Orchards,5.0,3.0,3.0,3.0,2.0,Low,Relatively New Property
House,6.25,Bahria Town,10.0,6.0,6.0,2.0,2.0,Medium,New Property
House,3.8,Top City 1,10.0,5.0,5.0,2.0,2.0,Low,New Property
House,2.4,B-17,8.0,4.0,4.0,2.0,3.0,Low,Old Property
House,37.0,F-10,48.0,7.0,6.0,2.0,6.0,High,New Property
Flat,3.5,F-11,7.1,2.0,2.0,1.0,1.0,Medium,Relatively New Property
House,10.75,DHA Defence,20.0,6.0,6.0,2.0,1.0,High,New Property
Flat,0.24,E-11,1.1,2.0,1.0,1.0,2.0,Low,Relatively New Property
House,4.5,Park View City,8.0,6.0,6.0,1.0,1.0,High,Relatively New Property
House,2.5,Bani Gala,6.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
House,4.3,Bahria Town,9.0,4.0,6.0,2.0,2.0,High,New Property
House,3.1,G-15,7.0,5.0,6.0,2.0,2.0,Medium,Relatively New Property
Flat,1.63,Bahria Town,5.6,2.0,2.0,2.0,2.0,High,New Property
House,0.65,DHA Defence,5.0,2.0,2.0,1.0,1.0,Medium,New Property
Flat,1.7,G-11,4.0,2.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,8.5,Karakoram Enclave 1,16.9,4.0,4.0,1.0,2.0,High,Relatively New Property
Flat,4.0,F-11,11.8,2.0,3.0,1.0,2.0,Low,Relatively New Property
House,5.25,G-9,5.6,5.0,5.0,3.0,1.0,Medium,Relatively New Property
House,1.45,Bahria Town,7.5,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,12.5,D-12,10.0,5.0,6.0,2.0,4.0,Medium,New Property
House,10.5,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,0.6,I-12,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,12.9,DHA Defence,20.0,6.0,6.0,2.0,2.0,Medium,Relatively New Property
House,6.42,G-13,8.0,8.0,6.0,3.0,1.0,High,New Property
Flat,1.25,B-17,6.0,2.0,2.0,1.0,6.0,High,Old Property
Flat,1.63,Bahria Town,5.6,3.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,0.55,I-12,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,1.85,Bani Gala,5.0,4.0,6.0,2.0,1.0,Low,New Property
House,26.5,F-7,20.0,5.0,6.0,2.0,3.0,High,Moderately old Property
House,3.5,Bahria Town,10.0,5.0,6.0,3.0,2.0,Medium,Relatively New Property
Flat,0.35,F-17,3.9,2.0,2.0,1.0,3.0,High,Relatively New Property
House,12.8,DHA Defence,20.0,5.0,5.0,2.0,4.0,High,Old Property
House,41.8,F-7,26.0,8.0,3.0,2.0,5.0,Low,New Property
House,11.0,I-8,12.4,6.0,6.0,2.0,1.0,High,Relatively New Property
Flat,1.1,H-13,5.0,2.0,2.0,1.0,1.0,Medium,New Property
Flat,0.75,DHA Defence,3.6,2.0,2.0,1.0,2.0,Medium,Moderately old Property
House,17.0,G-11,20.0,6.0,6.0,2.0,2.0,High,New Property
Flat,1.05,Zaraj Housing Scheme,2.7,1.0,1.0,1.0,1.0,Low,New Property
Flat,4.0,F-11,10.7,3.0,3.0,1.0,1.0,Low,Old Property
Flat,2.5,E-11,7.6,3.0,3.0,1.0,1.0,High,Relatively New Property
House,2.0,B-17,5.0,4.0,6.0,2.0,1.0,Medium,New Property
House,21.5,F-8,20.0,5.0,6.0,1.0,1.0,High,Relatively New Property
House,11.0,Bahria Town,20.0,5.0,6.0,1.0,1.0,High,Old Property
House,70.0,F-7,42.0,7.0,6.0,1.0,1.0,High,Relatively New Property
Flat,0.63,FECHS,4.6,2.0,2.0,1.0,2.0,Low,New Property
Flat,4.35,F-11,12.0,2.0,2.0,1.0,1.0,Low,Old Property
House,40.0,F-8,36.0,8.0,3.0,1.0,1.0,High,Relatively New Property
Flat,1.9,Gulberg,7.6,2.0,2.0,1.0,1.0,High,New Property
House,25.0,F-11,26.0,9.0,6.0,3.0,6.0,High,Moderately old Property
House,3.5,Pir Sohawa,20.0,3.0,3.0,2.0,1.0,Medium,Relatively New Property
House,12.5,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
Flat,1.35,Zaraj Housing Scheme,3.9,2.0,2.0,2.0,1.0,Low,Moderately old Property
Flat,0.63,Gulberg,2.0,1.0,1.0,1.0,1.0,Low,Relatively New Property
House,35.0,F-11,20.0,6.0,6.0,2.0,5.0,Low,Moderately old Property
House,16.0,F-11,20.0,6.0,6.0,2.0,5.0,High,Old Property
Flat,2.35,F-11,7.8,2.0,2.0,1.0,1.0,High,New Property
House,2.25,Bani Gala,5.0,4.0,4.0,1.0,1.0,Medium,Relatively New Property
House,41.6,F-7,40.0,5.0,6.0,1.0,10.0,High,Moderately old Property
Flat,2.5,F-11,7.8,2.0,2.0,1.0,1.0,High,Old Property
House,12.75,DHA Defence,20.0,5.0,5.0,1.0,3.0,Medium,New Property
Flat,1.1,DHA Defence,4.2,2.0,2.0,1.0,1.0,High,New Property
House,14.75,G-13,20.0,6.0,6.0,2.0,4.0,High,New Property
House,4.85,FECHS,12.0,6.0,6.0,2.0,4.0,High,Relatively New Property
House,4.45,E-11,6.0,6.0,6.0,3.0,1.0,Medium,Moderately old Property
House,6.25,G-13,8.0,6.0,6.0,2.0,1.0,High,New Property
Flat,0.85,H-13,4.0,2.0,2.0,1.0,2.0,Low,New Property
Flat,0.75,Gulberg,2.4,1.0,1.0,1.0,1.0,High,Relatively New Property
House,15.0,G-11,20.0,6.0,5.0,2.0,1.0,High,New Property
Flat,2.9,DHA Defence,11.8,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,2.1,Bahria Town,5.0,3.0,5.0,2.0,2.0,High,New Property
House,3.9,G-13,4.0,4.0,5.0,2.0,1.0,High,New Property
Flat,1.35,Gulberg,3.4,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,9.0,G-13,10.0,6.0,6.0,3.0,2.0,Medium,New Property
Flat,0.7,G-13,7.8,3.0,3.0,1.0,2.0,High,Relatively New Property
Flat,0.8,DHA Defence,3.6,2.0,2.0,1.0,2.0,High,Relatively New Property
Flat,3.75,F-11,12.2,3.0,3.0,1.0,1.0,Low,Moderately old Property
Flat,5.0,Blue Area,4.2,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,2.35,DHA Defence,12.0,3.0,4.0,1.0,2.0,Low,New Property
House,12.8,DHA Defence,20.0,5.0,6.0,1.0,3.0,Medium,New Property
Flat,0.5,G-13,1.9,1.0,1.0,1.0,1.0,High,New Property
Flat,2.35,DHA Defence,10.4,3.0,3.0,1.0,1.0,High,New Property
Flat,1.95,I-8,5.7,3.0,2.0,1.0,1.0,Low,Relatively New Property
House,3.5,I-11,6.0,5.0,5.0,2.0,1.0,Medium,Relatively New Property
Flat,7.5,Blue Area,5.8,1.0,2.0,1.0,3.0,High,New Property
House,2.8,E-16,10.0,4.0,4.0,3.0,1.0,Low,New Property
Flat,1.2,G-13,7.8,3.0,3.0,0.0,0.0,High,Relatively New Property
House,2.7,Soan Garden,6.7,5.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,1.5,DHA Defence,7.3,3.0,2.0,1.0,1.0,High,Relatively New Property
Flat,0.9,Faisal Town - F-18,3.8,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.5,E-11,5.6,2.0,3.0,1.0,2.0,High,New Property
Flat,0.47,Faisal Town - F-18,2.9,1.0,1.0,2.0,2.0,High,New Property
House,32.0,F-7,22.0,6.0,6.0,2.0,4.0,Low,Relatively New Property
Flat,3.75,Gulberg,8.3,2.0,3.0,1.0,2.0,Low,Relatively New Property
House,6.7,Bani Gala,20.0,4.0,5.0,1.0,3.0,High,New Property
Flat,2.53,Kashmir Highway,4.1,1.0,1.0,1.0,2.0,Medium,Relatively New Property
Flat,0.72,B-17,2.6,3.0,2.0,1.0,1.0,Medium,Relatively New Property
House,17.5,G-13,20.0,6.0,6.0,2.0,3.0,Low,New Property
House,16.5,DHA Defence,20.0,8.0,6.0,2.0,3.0,Medium,New Property
Flat,0.92,B-17,3.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,11.8,DHA Defence,20.0,6.0,6.0,2.0,3.0,Low,New Property
House,3.6,I-10,6.0,4.0,4.0,3.0,2.0,Low,Relatively New Property
Flat,2.9,DHA Defence,12.1,3.0,4.0,1.0,2.0,Low,Relatively New Property
House,3.9,Bani Gala,10.0,4.0,4.0,2.0,2.0,High,New Property
House,5.0,Bahria Town,10.0,5.0,6.0,3.0,2.0,High,Relatively New Property
Flat,6.5,F-11,15.1,4.0,4.0,1.0,2.0,Low,Moderately old Property
House,4.75,I-10,5.0,5.0,6.0,1.0,1.0,High,Relatively New Property
House,4.25,Top City 1,10.0,5.0,5.0,2.0,2.0,Low,Relatively New Property
Flat,3.25,G-11,7.1,2.0,2.0,1.0,1.0,Medium,Moderately old Property
Flat,0.4,Multi Residencia & Orchards,1.8,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.2,B-17,6.2,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,1.45,Bahria Town,7.5,3.0,3.0,1.0,1.0,Medium,New Property
House,26.5,F-8,20.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,1.4,GT Road,6.3,3.0,3.0,1.0,1.0,Low,New Property
House,7.25,DHA Defence,10.4,5.0,6.0,2.0,2.0,High,New Property
House,13.5,DHA Defence,20.0,6.0,6.0,2.0,2.0,High,New Property
House,4.4,D-12,4.0,4.0,4.0,1.0,1.0,High,Relatively New Property
House,6.75,G-6,9.8,5.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,0.85,E-11,2.9,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,33.0,F-6,32.0,5.0,5.0,1.0,1.0,Low,Relatively New Property
House,7.0,Top City 1,20.0,5.0,6.0,1.0,1.0,High,Relatively New Property
Flat,1.25,Gulberg,3.4,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.58,D-17,3.6,2.0,2.0,2.0,3.0,Medium,Moderately old Property
Flat,3.2,G-15,16.9,4.0,5.0,1.0,1.0,Low,Relatively New Property
House,2.6,Ghauri Town,8.0,4.0,6.0,2.0,2.0,High,Moderately old Property
Flat,9.0,F-11,20.0,4.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,2.45,F-11,7.6,2.0,2.0,1.0,1.0,High,Moderately old Property
House,1.45,E-18,7.0,3.0,3.0,1.0,2.0,Low,New Property
Flat,2.75,Gulberg,7.6,2.0,2.0,1.0,2.0,Medium,Relatively New Property
